id,poliza,monto,antiguedad,siniestros_previos,pago_alto
1,POL-2026-0001,15834862,6,0,0
2,POL-2026-0002,12724000,5,1,1
3,POL-2026-0003,3660277,10,2,1
4,POL-2026-0004,9728452,3,0,1
5,POL-2026-0005,18799464,4,2,1
6,POL-2026-0006,3643890,13,0,0
7,POL-2026-0007,18785201,0,1,1
8,POL-2026-0008,718062,14,1,0
9,POL-2026-0009,11916912,5,1,1
10,POL-2026-0010,11794238,6,4,1
11,POL-2026-0011,12041238,12,0,0
12,POL-2026-0012,18492829,1,2,1
13,POL-2026-0013,10337430,12,0,0
14,POL-2026-0014,2833883,11,1,1
15,POL-2026-0015,3177374,7,2,0
16,POL-2026-0016,15713925,3,0,0
17,POL-2026-0017,12420906,11,0,1
18,POL-2026-0018,2895870,8,2,0
19,POL-2026-0019,8714491,5,1,1
20,POL-2026-0020,19188132,12,0,1
21,POL-2026-0021,2376966,10,2,1
22,POL-2026-0022,13960856,1,2,1
23,POL-2026-0023,19531404,6,3,0
24,POL-2026-0024,17251421,10,0,1
25,POL-2026-0025,5185216,14,0,0
26,POL-2026-0026,14875853,8,2,0
27,POL-2026-0027,5141643,12,0,0
28,POL-2026-0028,4179214,2,2,1
29,POL-2026-0029,14665337,5,2,1
30,POL-2026-0030,16205148,12,0,0
31,POL-2026-0031,4343718,0,1,0
32,POL-2026-0032,11914394,8,2,1
33,POL-2026-0033,608894,13,0,0
34,POL-2026-0034,6494562,8,4,1
35,POL-2026-0035,10514145,3,3,0
36,POL-2026-0036,5920686,6,0,0
37,POL-2026-0037,16894887,0,1,1
38,POL-2026-0038,10818461,11,3,1
39,POL-2026-0039,3142648,7,3,1
40,POL-2026-0040,18374652,15,2,0
41,POL-2026-0041,18948347,4,1,1
42,POL-2026-0042,18595773,13,4,1
43,POL-2026-0043,13887959,6,2,0
44,POL-2026-0044,17866963,11,1,1
45,POL-2026-0045,11844269,7,0,1
46,POL-2026-0046,741284,7,1,1
47,POL-2026-0047,1554043,1,0,0
48,POL-2026-0048,9844146,2,1,0
49,POL-2026-0049,19661026,6,1,1
50,POL-2026-0050,14158665,7,2,1
51,POL-2026-0051,12388253,3,1,1
52,POL-2026-0052,2317683,14,3,0
53,POL-2026-0053,11885106,3,0,0
54,POL-2026-0054,6882351,3,0,0
55,POL-2026-0055,9846424,4,1,0
56,POL-2026-0056,18965853,2,1,1
57,POL-2026-0057,8431579,0,4,1
58,POL-2026-0058,13956679,15,1,0
59,POL-2026-0059,13600380,5,0,1
60,POL-2026-0060,19148490,14,0,0
61,POL-2026-0061,10455862,15,0,1
62,POL-2026-0062,18693052,1,1,1
63,POL-2026-0063,16498367,10,0,0
64,POL-2026-0064,17539896,5,0,1
65,POL-2026-0065,2780388,5,0,0
66,POL-2026-0066,19615134,7,1,1
67,POL-2026-0067,14566853,1,1,0
68,POL-2026-0068,7353801,10,3,0
69,POL-2026-0069,13780369,10,0,1
70,POL-2026-0070,2934143,9,1,1
71,POL-2026-0071,7652271,3,0,0
72,POL-2026-0072,2808253,4,3,0
73,POL-2026-0073,15203034,11,0,0
74,POL-2026-0074,18248304,9,1,1
75,POL-2026-0075,3975786,9,3,0
76,POL-2026-0076,4091531,4,0,0
77,POL-2026-0077,7567558,4,0,0
78,POL-2026-0078,9357829,6,1,0
79,POL-2026-0079,2204528,8,3,1
80,POL-2026-0080,1979306,13,2,1
81,POL-2026-0081,9289760,4,1,1
82,POL-2026-0082,14850791,14,1,0
83,POL-2026-0083,5501431,3,0,0
84,POL-2026-0084,5469202,11,1,0
85,POL-2026-0085,1838649,1,0,0
86,POL-2026-0086,3949181,6,1,0
87,POL-2026-0087,5685949,13,4,0
88,POL-2026-0088,6440891,7,3,0
89,POL-2026-0089,11646294,0,0,0
90,POL-2026-0090,8827110,13,2,1
91,POL-2026-0091,1799382,3,0,0
92,POL-2026-0092,15945213,7,0,1
93,POL-2026-0093,6980360,7,0,0
94,POL-2026-0094,9865880,8,3,1
95,POL-2026-0095,18492414,12,1,1
96,POL-2026-0096,9264927,0,0,1
97,POL-2026-0097,15081540,8,0,1
98,POL-2026-0098,17660510,10,1,1
99,POL-2026-0099,15131662,6,0,1
100,POL-2026-0100,2847931,6,0,0
